index,timestamp,epoch,WeightedCrossEntropy,stage
0,1644587614546,0,0.3786458075046539,train
1,1644587663492,1,0.3793048560619354,train
2,1644587712080,2,0.3797155320644378,train
3,1644587760694,3,0.3799678981304168,train
4,1644587809231,4,0.3801539838314056,train
5,1644587857546,5,0.380300760269165,train
6,1644587905812,6,0.3804176449775696,train
7,1644587954025,7,0.3805125653743744,train
8,1644588002333,8,0.3806183636188507,train
9,1644588050812,9,0.3806708753108978,train
10,1644588099094,10,0.3807394504547119,train
11,1644588147199,11,0.3808414936065674,train
0,1644587614547,0,0.3833932280540466,val
1,1644587663493,1,0.3835809230804443,val
2,1644587712156,2,0.384072333574295,val
3,1644587760695,3,0.3839869201183319,val
4,1644587809232,4,0.3845209777355194,val
5,1644587857547,5,0.3838871121406555,val
6,1644587905813,6,0.3846332132816314,val
7,1644587954025,7,0.3841360211372375,val
8,1644588002334,8,0.383747398853302,val
9,1644588050813,9,0.3831081688404083,val
10,1644588099095,10,0.3841215670108795,val
11,1644588147200,11,0.3840516209602356,val
