index,timestamp,pics,mIoU
0,1644412034389,0,0.11
1,1644412034490,1,0.12
2,1644412034590,2,0.1
3,1644412034686,3,0.1
4,1644412034787,4,0.1
5,1644412034893,5,0.1
6,1644412034991,6,0.08
7,1644412035090,7,0.11
8,1644412035192,8,0.09
9,1644412035294,9,0.09
10,1644412035391,10,0.11
11,1644412035491,11,0.07
12,1644412035595,12,0.1
13,1644412035696,13,0.05
14,1644412035796,14,0.12
15,1644412035898,15,0.09
16,1644412035998,16,0.11
17,1644412036097,17,0.1
18,1644412036196,18,0.11
19,1644412036296,19,0.08
20,1644412036401,20,0.06
21,1644412036501,21,0.1
22,1644412036600,22,0.09
23,1644412036701,23,0.1
24,1644412036800,24,0.12
25,1644412036899,25,0.12
26,1644412036996,26,0.12
27,1644412037098,27,0.1
28,1644412037203,28,0.14
29,1644412037304,29,0.11
30,1644412037406,30,0.06
31,1644412037506,31,0.1
32,1644412037608,32,0.09
33,1644412037707,33,0.09
34,1644412037809,34,0.08
35,1644412037914,35,0.09
36,1644412038012,36,0.1
37,1644412038114,37,0.08
38,1644412038215,38,0.07
39,1644412038316,39,0.07
40,1644412038418,40,0.08
41,1644412038517,41,0.09
42,1644412038615,42,0.07
43,1644412038719,43,0.06
44,1644412038822,44,0.1
45,1644412038924,45,0.13
46,1644412039023,46,0.09
47,1644412039124,47,0.1
48,1644412039224,48,0.1
49,1644412039324,49,0.09
50,1644412039426,50,0.11
51,1644412039531,51,0.08
52,1644412039630,52,0.1
53,1644412039732,53,0.1
54,1644412039836,54,0.11
55,1644412039940,55,0.11
56,1644412040042,56,0.1
57,1644412040144,57,0.09
58,1644412040248,58,0.11
59,1644412040350,59,0.08
60,1644412040452,60,0.12
61,1644412040552,61,0.11
62,1644412040653,62,0.1
63,1644412040752,63,0.11
64,1644412040854,64,0.08
65,1644412040954,65,0.11
66,1644412041058,66,0.11
67,1644412041159,67,0.06
68,1644412041257,68,0.05
69,1644412041360,69,0.1
70,1644412041457,70,0.1
71,1644412041560,71,0.13
72,1644412041660,72,0.11
73,1644412041767,73,0.09
74,1644412041870,74,0.09
75,1644412041969,75,0.09
76,1644412042071,76,0.1
77,1644412042171,77,0.1
78,1644412042274,78,0.12
79,1644412042378,79,0.11
80,1644412042482,80,0.09
81,1644412042587,81,0.09
82,1644412042686,82,0.11
83,1644412042788,83,0.1
84,1644412042885,84,0.07
85,1644412042987,85,0.12
86,1644412043088,86,0.1
87,1644412043189,87,0.1
88,1644412043292,88,0.1
89,1644412043397,89,0.1
90,1644412043500,90,0.12
91,1644412043601,91,0.1
92,1644412043704,92,0.08
93,1644412043805,93,0.09
94,1644412043904,94,0.09
95,1644412044004,95,0.11
96,1644412044110,96,0.11
97,1644412044213,97,0.11
98,1644412044316,98,0.1
99,1644412044419,99,0.09
