index,timestamp,epoch,BalancedCrossEntropy,stage
0,1644586585617,0,1.6139336824417114,train
1,1644586660766,1,2.3485593795776367,train
2,1644586735850,2,2.9607295989990234,train
3,1644586811023,3,3.472670316696167,train
4,1644586886016,4,3.948275566101074,train
5,1644586961011,5,4.407962799072266,train
6,1644587035933,6,4.7997870445251465,train
7,1644587110791,7,5.128669738769531,train
8,1644587185679,8,5.424218654632568,train
9,1644587260648,9,5.706720352172852,train
10,1644587335762,10,6.001255512237549,train
11,1644587410607,11,6.247175693511963,train
0,1644586585618,0,1.8545178174972532,val
1,1644586660767,1,2.804006099700928,val
2,1644586735851,2,3.1394364833831787,val
3,1644586811025,3,2.98561429977417,val
4,1644586886016,4,3.3257105350494385,val
5,1644586961012,5,3.589087724685669,val
6,1644587035934,6,4.826692581176758,val
7,1644587110792,7,5.231226921081543,val
8,1644587185679,8,5.344946384429932,val
9,1644587260649,9,6.503719806671143,val
10,1644587335763,10,5.571344375610352,val
11,1644587410608,11,5.884438514709473,val
