index,timestamp,pics,Dice_coefficient
0,1644835567925,500,0.76
1,1644835568032,501,0.64
2,1644835568138,502,0.59
3,1644835568245,503,0.81
4,1644835568357,504,0.57
5,1644835568465,505,0.83
6,1644835568571,506,0.72
7,1644835568677,507,0.78
8,1644835568781,508,0.74
9,1644835568886,509,0.69
10,1644835568995,510,0.68
11,1644835569103,511,0.81
12,1644835569212,512,0.75
13,1644835569319,513,0.68
14,1644835569424,514,0.59
15,1644835569532,515,0.69
16,1644835569638,516,0.63
17,1644835569745,517,0.66
18,1644835569851,518,0.54
19,1644835569955,519,0.73
20,1644835570065,520,0.7
21,1644835570173,521,0.68
22,1644835570282,522,0.55
23,1644835570393,523,0.56
24,1644835570499,524,0.64
25,1644835570601,525,0.69
26,1644835570705,526,0.6
27,1644835570813,527,0.66
28,1644835570922,528,0.53
29,1644835571027,529,0.68
30,1644835571135,530,0.67
31,1644835571243,531,0.62
32,1644835571350,532,0.65
33,1644835571460,533,0.48
34,1644835571567,534,0.76
35,1644835571677,535,0.67
36,1644835571788,536,0.66
37,1644835571896,537,0.37
38,1644835572005,538,0.58
39,1644835572106,539,0.61
40,1644835572214,540,0.81
41,1644835572321,541,0.65
42,1644835572426,542,0.64
43,1644835572536,543,0.74
44,1644835572647,544,0.51
45,1644835572755,545,0.55
46,1644835572862,546,0.61
47,1644835572971,547,0.71
48,1644835573079,548,0.53
49,1644835573188,549,0.74
50,1644835573295,550,0.66
51,1644835573401,551,0.63
52,1644835573510,552,0.54
53,1644835573624,553,0.57
54,1644835573734,554,0.5
55,1644835573844,555,0.64
56,1644835573950,556,0.61
57,1644835574065,557,0.68
58,1644835574172,558,0.7
59,1644835574279,559,0.65
60,1644835574391,560,0.63
61,1644835574499,561,0.68
62,1644835574607,562,0.64
63,1644835574712,563,0.68
64,1644835574819,564,0.76
65,1644835574929,565,0.6
66,1644835575038,566,0.72
67,1644835575147,567,0.64
68,1644835575259,568,0.76
69,1644835575367,569,0.73
70,1644835575473,570,0.64
71,1644835575579,571,0.63
72,1644835575687,572,0.82
73,1644835575791,573,0.73
74,1644835575896,574,0.85
75,1644835576002,575,0.77
76,1644835576118,576,0.63
77,1644835576227,577,0.56
78,1644835576334,578,0.66
79,1644835576442,579,0.56
80,1644835576551,580,0.68
81,1644835576659,581,0.68
82,1644835576768,582,0.5
83,1644835576877,583,0.7
84,1644835576987,584,0.7
85,1644835577092,585,0.73
86,1644835577195,586,0.66
87,1644835577302,587,0.72
88,1644835577414,588,0.65
89,1644835577518,589,0.57
90,1644835577624,590,0.54
91,1644835577732,591,0.48
92,1644835577844,592,0.6
93,1644835577951,593,0.67
94,1644835578060,594,0.75
95,1644835578168,595,0.72
96,1644835578276,596,0.68
97,1644835578382,597,0.68
98,1644835578488,598,0.68
99,1644835578597,599,0.68
100,1644835578707,600,0.61
101,1644835578814,601,0.64
102,1644835578919,602,0.8
103,1644835579025,603,0.67
104,1644835579134,604,0.57
105,1644835579241,605,0.72
106,1644835579349,606,0.58
107,1644835579457,607,0.61
108,1644835579569,608,0.73
109,1644835579677,609,0.63
110,1644835579785,610,0.56
111,1644835579893,611,0.56
112,1644835580002,612,0.6
113,1644835580110,613,0.67
114,1644835580217,614,0.55
115,1644835580323,615,0.51
116,1644835580434,616,0.68
117,1644835580542,617,0.72
118,1644835580651,618,0.69
119,1644835580758,619,0.71
120,1644835580865,620,0.68
121,1644835580971,621,0.56
122,1644835581079,622,0.51
123,1644835581186,623,0.63
124,1644835581296,624,0.76
125,1644835581402,625,0.49
126,1644835581511,626,0.44
127,1644835581622,627,0.53
128,1644835581730,628,0.68
129,1644835581837,629,0.79
130,1644835581945,630,0.68
131,1644835582053,631,0.55
132,1644835582165,632,0.59
133,1644835582274,633,0.66
134,1644835582380,634,0.59
135,1644835582488,635,0.74
136,1644835582595,636,0.66
137,1644835582703,637,0.69
138,1644835582812,638,0.7
139,1644835582917,639,0.64
140,1644835583029,640,0.58
141,1644835583137,641,0.5
142,1644835583245,642,0.5
143,1644835583352,643,0.66
144,1644835583459,644,0.5
145,1644835583567,645,0.63
146,1644835583674,646,0.67
147,1644835583779,647,0.72
148,1644835583890,648,0.63
149,1644835584001,649,0.67
150,1644835584108,650,0.66
151,1644835584214,651,0.66
152,1644835584319,652,0.47
153,1644835584423,653,0.63
154,1644835584530,654,0.65
155,1644835584637,655,0.78
156,1644835584751,656,0.61
157,1644835584859,657,0.55
158,1644835584963,658,0.76
159,1644835585068,659,0.76
160,1644835585177,660,0.44
161,1644835585286,661,0.64
162,1644835585388,662,0.69
163,1644835585496,663,0.66
164,1644835585607,664,0.8
165,1644835585714,665,0.68
166,1644835585823,666,0.8
167,1644835585929,667,0.48
168,1644835586037,668,0.66
169,1644835586143,669,0.58
170,1644835586248,670,0.68
171,1644835586355,671,0.6
172,1644835586466,672,0.66
173,1644835586572,673,0.7
174,1644835586676,674,0.54
175,1644835586782,675,0.75
176,1644835586887,676,0.64
177,1644835586994,677,0.69
178,1644835587101,678,0.67
179,1644835587208,679,0.55
180,1644835587318,680,0.8
181,1644835587426,681,0.67
182,1644835587534,682,0.7
183,1644835587643,683,0.68
184,1644835587751,684,0.64
185,1644835587860,685,0.61
186,1644835587965,686,0.62
187,1644835588074,687,0.54
188,1644835588185,688,0.55
189,1644835588290,689,0.68
190,1644835588396,690,0.64
191,1644835588502,691,0.65
192,1644835588610,692,0.68
193,1644835588717,693,0.6
194,1644835588826,694,0.61
195,1644835588932,695,0.68
196,1644835589044,696,0.56
197,1644835589152,697,0.67
198,1644835589261,698,0.63
199,1644835589365,699,0.66
200,1644835589473,700,0.64
201,1644835589576,701,0.69
202,1644835589681,702,0.61
203,1644835589786,703,0.66
204,1644835589899,704,0.46
205,1644835590008,705,0.55
206,1644835590116,706,0.66
207,1644835590225,707,0.7
208,1644835590331,708,0.73
209,1644835590439,709,0.66
210,1644835590546,710,0.74
211,1644835590653,711,0.72
212,1644835590763,712,0.71
213,1644835590867,713,0.6
214,1644835590971,714,0.67
215,1644835591077,715,0.58
216,1644835591181,716,0.64
217,1644835591287,717,0.68
218,1644835591393,718,0.79
219,1644835591499,719,0.67
220,1644835591611,720,0.61
221,1644835591718,721,0.74
222,1644835591825,722,0.7
223,1644835591933,723,0.69
224,1644835592039,724,0.61
225,1644835592145,725,0.66
226,1644835592252,726,0.68
227,1644835592559,727,0.47
228,1644835592668,728,0.7
229,1644835592768,729,0.68
230,1644835592871,730,0.65
231,1644835592980,731,0.75
232,1644835593087,732,0.69
233,1644835593193,733,0.62
234,1644835593295,734,0.64
235,1644835593402,735,0.61
236,1644835593514,736,0.72
237,1644835593622,737,0.66
238,1644835593728,738,0.72
239,1644835593834,739,0.71
240,1644835593941,740,0.64
241,1644835594049,741,0.69
242,1644835594155,742,0.73
243,1644835594260,743,0.71
244,1644835594370,744,0.7
245,1644835594475,745,0.74
246,1644835594578,746,0.69
247,1644835594686,747,0.61
248,1644835594795,748,0.61
249,1644835594898,749,0.7
250,1644835595002,750,0.58
251,1644835595109,751,0.67
252,1644835595220,752,0.73
253,1644835595326,753,0.62
254,1644835595433,754,0.58
255,1644835595535,755,0.67
256,1644835595640,756,0.71
257,1644835595745,757,0.69
258,1644835595852,758,0.77
259,1644835595960,759,0.82
260,1644835596072,760,0.46
261,1644835596177,761,0.6
262,1644835596285,762,0.65
263,1644835596391,763,0.7
264,1644835596501,764,0.65
265,1644835596612,765,0.66
266,1644835596718,766,0.68
267,1644835596825,767,0.65
268,1644835596937,768,0.69
269,1644835597045,769,0.69
270,1644835597154,770,0.56
271,1644835597261,771,0.65
272,1644835597370,772,0.62
273,1644835597478,773,0.68
274,1644835597586,774,0.7
275,1644835597694,775,0.71
276,1644835597805,776,0.63
277,1644835597914,777,0.64
278,1644835598024,778,0.73
279,1644835598131,779,0.77
280,1644835598237,780,0.69
281,1644835598346,781,0.63
282,1644835598452,782,0.73
283,1644835598558,783,0.57
284,1644835598671,784,0.71
285,1644835598778,785,0.66
286,1644835598885,786,0.57
287,1644835598994,787,0.55
288,1644835599103,788,0.63
289,1644835599210,789,0.68
290,1644835599317,790,0.7
291,1644835599426,791,0.68
292,1644835599534,792,0.59
293,1644835599644,793,0.51
294,1644835599750,794,0.53
295,1644835599856,795,0.63
296,1644835599964,796,0.63
297,1644835600070,797,0.6
298,1644835600179,798,0.69
299,1644835600283,799,0.69
300,1644835600389,800,0.79
301,1644835600589,801,0.58
302,1644835600696,802,0.62
303,1644835600801,803,0.6
304,1644835600906,804,0.55
305,1644835601011,805,0.5
306,1644835601116,806,0.6
307,1644835601226,807,0.63
308,1644835601336,808,0.48
309,1644835601439,809,0.61
310,1644835601542,810,0.67
311,1644835601651,811,0.84
312,1644835601758,812,0.76
313,1644835601864,813,0.72
314,1644835601975,814,0.68
315,1644835602079,815,0.63
316,1644835602192,816,0.77
317,1644835602296,817,0.67
318,1644835602399,818,0.67
319,1644835602505,819,0.73
320,1644835602610,820,0.7
321,1644835602715,821,0.62
322,1644835602820,822,0.65
323,1644835602926,823,0.65
324,1644835603034,824,0.55
325,1644835603142,825,0.68
326,1644835603249,826,0.57
327,1644835603355,827,0.59
328,1644835603462,828,0.69
329,1644835603566,829,0.74
330,1644835603672,830,0.59
331,1644835603781,831,0.66
332,1644835603891,832,0.67
333,1644835603993,833,0.76
334,1644835604098,834,0.65
335,1644835604204,835,0.7
336,1644835604307,836,0.59
337,1644835604413,837,0.68
338,1644835604513,838,0.6
339,1644835604614,839,0.64
340,1644835604725,840,0.67
341,1644835605162,841,0.73
342,1644835605270,842,0.58
343,1644835605375,843,0.52
344,1644835605483,844,0.62
345,1644835605590,845,0.78
346,1644835605693,846,0.57
347,1644835605800,847,0.55
348,1644835605915,848,0.62
349,1644835606020,849,0.71
350,1644835606122,850,0.64
351,1644835606232,851,0.62
352,1644835606336,852,0.6
353,1644835606445,853,0.59
354,1644835606554,854,0.69
355,1644835606662,855,0.65
356,1644835606778,856,0.65
357,1644835606885,857,0.53
358,1644835606997,858,0.58
359,1644835607103,859,0.61
